Time (s),Value
0.001528024673461914,126.0
0.007524013519287109,126.0
0.01355123519897461,126.0
0.019049882888793945,126.0
0.02558732032775879,126.0
0.03161001205444336,126.0
0.037610530853271484,126.0
0.043636322021484375,126.0
0.049135446548461914,126.0
0.05572652816772461,126.0
0.06174945831298828,126.0
0.0677495002746582,126.0
0.0737757682800293,126.0
0.07927513122558594,126.0
0.08539652824401855,126.0
0.09140539169311523,126.0
0.09740591049194336,126.0
0.10341548919677734,126.0
0.10941553115844727,126.0
0.11542510986328125,126.0
0.12143898010253906,126.0
0.12743902206420898,126.0
0.13344669342041016,126.0
0.1389479637145996,126.0
0.14546442031860352,126.0
0.1515026092529297,126.0
0.15749835968017578,126.0
0.16352367401123047,126.0
0.1690201759338379,126.0
0.17554521560668945,126.0
0.1815807819366455,126.0
0.18759393692016602,126.0
0.1937251091003418,126.0
0.19922161102294922,126.0
0.20574498176574707,125.0
0.211775541305542,125.0
0.21777582168579102,125.0
0.2238779067993164,125.0
0.22937846183776855,125.0
0.23588919639587402,125.0
0.24189090728759766,125.0
0.24788975715637207,125.0
0.2539055347442627,125.0
0.25940680503845215,125.0
0.2659168243408203,125.0
0.2719292640686035,125.0
0.27792930603027344,125.0
0.2839536666870117,125.0
0.2899634838104248,125.0
0.29598474502563477,125.0
0.3020133972167969,125.0
0.3080132007598877,125.0
0.3135356903076172,125.0
0.32004261016845703,125.0
0.3260624408721924,126.0
0.33165669441223145,127.0
0.33765721321105957,127.0
0.34368085861206055,127.0
0.3491818904876709,127.0
0.3557150363922119,127.0
0.3618128299713135,128.0
0.36781740188598633,128.0
0.3738417625427246,129.0
0.37934064865112305,130.0
0.3858757019042969,131.0
0.39188456535339355,132.0
0.3978846073150635,133.0
0.4039011001586914,134.0
0.40939998626708984,136.0
0.4159121513366699,138.0
0.4219214916229248,141.0
0.42792177200317383,146.0
0.4339301586151123,148.0
0.4399387836456299,148.0
0.44596219062805176,146.0
0.4519801139831543,144.0
0.4579787254333496,146.0
0.46401023864746094,148.0
0.4700803756713867,148.0
0.4760928153991699,149.0
0.4821197986602783,150.0
0.4881279468536377,151.0
0.4941525459289551,151.0
0.5001566410064697,153.0
0.5057494640350342,153.0
0.5117807388305664,155.0
0.5177807807922363,156.0
0.5238146781921387,157.0
0.5293140411376953,160.0
0.5363409519195557,163.0
0.5418739318847656,170.0
0.5478787422180176,174.0
0.5538899898529053,176.0
0.5593898296356201,174.0
0.5659029483795166,171.0
0.5719141960144043,170.0
0.5779151916503906,171.0
0.5839354991912842,172.0
0.5894355773925781,171.0
0.5929462909698486,172.0
0.5989439487457275,173.0
0.6049625873565674,175.0
0.6110491752624512,176.0
0.617058515548706,176.0
0.6230838298797607,178.0
0.6290864944458008,179.0
0.6351122856140137,180.0
0.6412203311920166,180.0
0.6472263336181641,181.0
0.6532535552978516,181.0
0.6592531204223633,183.0
0.6652834415435791,184.0
0.6713027954101562,185.0
0.6773085594177246,187.0
0.6833386421203613,188.0
0.6893458366394043,191.0
0.6953761577606201,194.0
0.7013845443725586,201.0
0.7073843479156494,206.0
0.7133924961090088,210.0
0.7193949222564697,209.0
0.7254071235656738,208.0
0.7314181327819824,208.0
0.7374215126037598,211.0
0.743431568145752,210.0
0.7489297389984131,208.0
0.7554395198822021,207.0
0.7614727020263672,206.0
0.7674736976623535,206.0
0.7735118865966797,203.0
0.7790095806121826,205.0
0.7856013774871826,205.0
0.7916312217712402,204.0
0.7976324558258057,204.0
0.8036673069000244,205.0
0.809166431427002,205.0
0.8156886100769043,205.0
0.8217103481292725,205.0
0.8277096748352051,204.0
0.8337438106536865,205.0
0.8392431735992432,205.0
0.8452663421630859,205.0
0.8512840270996094,205.0
0.8572895526885986,206.0
0.8633172512054443,206.0
0.8693170547485352,207.0
0.8753430843353271,208.0
0.8816089630126953,208.0
0.8873775005340576,210.0
0.8933875560760498,210.0
0.8993873596191406,211.0
0.905397891998291,212.0
0.9114089012145996,212.0
0.917407751083374,213.0
0.9234213829040527,213.0
0.9294188022613525,215.0
0.9354274272918701,216.0
0.941448450088501,217.0
0.9474470615386963,218.0
0.9534733295440674,220.0
0.958972692489624,221.0
0.9655051231384277,222.0
0.9715299606323242,224.0
0.9775285720825195,226.0
0.9830529689788818,227.0
0.9890646934509277,228.0
0.9955949783325195,229.0
1.0016264915466309,230.0
1.007624864578247,231.0
1.0136456489562988,232.0
1.0191471576690674,233.0
1.0256733894348145,235.0
1.0317590236663818,235.0
1.0377585887908936,234.0
1.0437796115875244,235.0
1.0492804050445557,234.0
1.0557982921600342,232.0
1.0613889694213867,234.0
1.0673954486846924,234.0
1.0734045505523682,234.0
1.0794048309326172,235.0
1.0854291915893555,235.0
1.0914392471313477,235.0
1.0974376201629639,235.0
1.1034603118896484,236.0
1.1089611053466797,236.0
1.1154909133911133,237.0
1.1215136051177979,237.0
1.127511978149414,238.0
1.1335439682006836,238.0
1.139042615890503,240.0
1.1455662250518799,241.0
1.1515884399414062,242.0
1.157588005065918,243.0
1.1636133193969727,245.0
1.1691112518310547,247.0
1.1757383346557617,248.0
1.181760549545288,248.0
1.1877703666687012,248.0
1.1937956809997559,248.0
1.1992955207824707,248.0
1.2059218883514404,249.0
1.21193265914917,249.0
1.2179322242736816,248.0
1.2239561080932617,248.0
1.2299609184265137,248.0
1.2359821796417236,249.0
1.2420048713684082,249.0
1.2480039596557617,249.0
1.2540302276611328,249.0
1.2600350379943848,249.0
1.2660598754882812,249.0
1.2715964317321777,249.0
1.2775957584381104,249.0
1.283623218536377,249.0
